Famille;Sous famille;Désignation;Fournisseur;Fabricant;Ref fournisseur;tenu en stock;Conditionnement;Multiple cde;Unité Qte; Ancien Prix/U HT ;Prix/U HT;unité / prix;Coeff conversion;date prix
Profil Alu;;RAIDISSEUR PR 541 ET 543;ARCELOR (BERTON SICARD);INSTALLUX;542;Non;6,5;;;;;;;
Profil Alu;;RAIDISSEUR PR 541 ET 543;ARCELOR (BERTON SICARD);INSTALLUX;542/4;Non;4,5;;;;;;;
Profil Alu;;PAUMELLE 3 BRANCHES;ARCELOR (BERTON SICARD);INSTALLUX;550;Non;2;;;;;;;
Profil Alu;;GUIDAGE SUP AUTOPORTANT;ARCELOR (BERTON SICARD);INSTALLUX;551;Non;1;;;;;;;
Profil Alu;;TE DE FIXATION POUR 566;ARCELOR (BERTON SICARD);INSTALLUX;557;Non;1;;;;;;;
Profil Alu;;CALE ARRIERE PAUMELLE;ARCELOR (BERTON SICARD);INSTALLUX;562;Non;2;;;;;;;
Profil Alu;;PIECE RECEPT ET CENTREUR;ARCELOR (BERTON SICARD);INSTALLUX;566;Non;1;;;;;;;
Profil Alu;;SABOT TOURNIQUET;ARCELOR (BERTON SICARD);INSTALLUX;570;Non;1;;;;;;;
Profil Alu;;FIXATION MURALE CLOTURE;ARCELOR (BERTON SICARD);INSTALLUX;574;Non;1;;;;;;;
Profil Alu;;PORTE OLIVE GUIDE LAT CO;ARCELOR (BERTON SICARD);INSTALLUX;578;Non;1;;;;;;;
Profil Alu;;PROFIL/TOLE EP 2 MM;ARCELOR (BERTON SICARD);INSTALLUX;580;Non;6,5;;;;;;;
Profil Alu;;EMB FINITION GUIDE OLIVE;ARCELOR (BERTON SICARD);INSTALLUX;584;Non;1;;;;;;;
profil alu;EMBOUT;KIT EMBOUT CACHE CREMAIL;ARCELOR (BERTON SICARD);INSTALLUX;585;Non;1;;;;;;;
Profil Alu;;KIT BOUCHONS/PROFIL 500;ARCELOR (BERTON SICARD);INSTALLUX;586;Non;2;;;;;;;
Profil Alu;;CHAPEAU POTEAU 150X150;ARCELOR (BERTON SICARD);INSTALLUX;589;Non;1;;;;;;;
Profil Alu;;CACHE ROULETTE;ARCELOR (BERTON SICARD);INSTALLUX;594;Non;2;;;;;;;
Profil Alu;;GUIDE A LA FERMETURE;ARCELOR (BERTON SICARD);INSTALLUX;595;Non;1;;;;;;;
Profil Alu;;PETITE TRAVERSE;ARCELOR (BERTON SICARD);INSTALLUX;597;Non;6,5;;;;;;;
profil alu;;TRAVERSE CINT.USIN.1420;ARCELOR (BERTON SICARD);INSTALLUX;597-C1-U;Non;1;;;;;;;
Profil Alu;;TRAVERSE CINT.USIN.2000;ARCELOR (BERTON SICARD);INSTALLUX;597-C2-U;Non;1;;;;;;;
Profil Alu;;TRAVERSE CINT.USIN.2250;ARCELOR (BERTON SICARD);INSTALLUX;597-C3-U;Non;1;;;;;;;
